pattern,source,category,monoid_size,aperiodic,groups
\b\d{3}-\d{2}-\d{4}\b,Presidio,PII-SSN,68,True,
\b\d{9}\b,Presidio,PII-SSN-nodash,31,True,
"\b[A-Z]{2}\d{6,8}\b",Presidio,PII-passport,50,True,
\b\d{4}[- ]?\d{4}[- ]?\d{4}[- ]?\d{4}\b,Presidio,PII-credit-card,132,True,
"\b[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}\b",Presidio,PII-email,44,True,
\b\d{3}[-.\s]?\d{3}[-.\s]?\d{4}\b,Presidio,PII-phone-US,77,True,
\b\d{5}(-\d{4})?\b,Presidio,PII-zipcode,59,True,
"\b\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}\b",Presidio,PII-IPv4,85,True,
\b[0-9a-fA-F]{2}(:[0-9a-fA-F]{2}){5}\b,Presidio,PII-MAC,87,True,
"\b[A-Z]{1,2}\d{1,2}[A-Z]?\s?\d[A-Z]{2}\b",Presidio,PII-UK-postcode,62,True,
\b\d{3}\.\d{3}\.\d{3}-\d{2}\b,Presidio,PII-BR-CPF,103,True,
\b\d{2}\.\d{3}\.\d{3}/\d{4}-\d{2}\b,Presidio,PII-BR-CNPJ,175,True,
\bDE\d{2}\s?\d{4}\s?\d{4}\s?\d{4}\s?\d{4}\s?\d{2}\b,Presidio,PII-IBAN-DE,235,True,
"\b[A-Z]{2}\d{2}[A-Z0-9]{4}\d{7}([A-Z0-9]?){0,16}\b",Presidio,PII-IBAN-generic,-1,True,
\b(0[1-9]|1[0-2])/(0[1-9]|[12]\d|3[01])/(19|20)\d{2}\b,Presidio,PII-date-US,133,True,
ghp_[A-Za-z0-9]{36},GitLeaks,secret-github-pat,-1,True,
sk-[A-Za-z0-9]{48},GitLeaks,secret-openai-key,-1,True,
AKIA[0-9A-Z]{16},GitLeaks,secret-aws-access-key,91,True,
"(?:password|passwd|pwd)\s*[=:]\s*['\""]?[^\s'\""]+",GitLeaks,secret-password-assign,103,True,
bearer\s+[A-Za-z0-9_-]+\.[A-Za-z0-9_-]+\.[A-Za-z0-9_-]+,GitLeaks,secret-jwt-bearer,72,True,
-----BEGIN (RSA |EC )?PRIVATE KEY-----,GitLeaks,secret-private-key,495,True,
"xox[bporas]-[0-9]{10,13}-[A-Za-z0-9-]+",GitLeaks,secret-slack-token,131,True,
SG\.[A-Za-z0-9_-]{22}\.[A-Za-z0-9_-]{43},GitLeaks,secret-sendgrid,-1,True,
ignore\s+(all\s+)?(previous|above|prior)\s+(instructions|prompts),OWASP-LLM,injection-ignore-prev,813,True,
(system|admin)\s*prompt\s*:,OWASP-LLM,injection-system-prompt,134,True,
you\s+are\s+now\s+(DAN|evil|uncensored|jailbroken),OWASP-LLM,injection-roleplay,470,True,
\[\s*INST\s*\]|\[/INST\]|<\|im_start\|>|<\|im_end\|>,OWASP-LLM,injection-template-markers,142,True,
do\s+anything\s+now,OWASP-LLM,injection-DAN,118,True,
pretend\s+(you\s+are|to\s+be|you're)\s+,OWASP-LLM,injection-pretend,172,True,
forget\s+(everything|all|your)\s+(you|instructions|rules),OWASP-LLM,injection-forget,679,True,
(reveal|show|display|print)\s+(your|the|system)\s+(prompt|instructions),OWASP-LLM,injection-reveal,982,True,
<script[^>]*>,WAF-generic,code-xss-script,39,True,
javascript\s*:,WAF-generic,code-xss-protocol,68,True,
on(error|load|click|mouseover)\s*=,WAF-generic,code-xss-event,137,True,
union\s+select,WAF-generic,code-sqli-union,78,True,
(;|')\s*(drop|delete|truncate|alter)\s+,WAF-generic,code-sqli-destructive,103,True,
\.\.[\\/],WAF-generic,code-path-traversal,7,True,
eval\s*\(,WAF-generic,code-eval,18,True,
exec\s*\(,WAF-generic,code-exec,17,True,
import\s+os|from\s+os\s+import,WAF-generic,code-python-os,119,True,
subprocess\.(run|call|Popen),WAF-generic,code-python-subprocess,185,True,
__import__\s*\(,WAF-generic,code-python-import,67,True,
\b(fuck|shit|damn|ass|bitch|crap)\b,LangKit,toxicity-profanity,87,True,
\b(kill|murder|suicide|bomb|attack|weapon)\b,LangKit,toxicity-violence,147,True,
\b(http|https)://[^\s]+,LangKit,content-url-detect,54,True,
\bbase64\s*decode\b,BodAIGuard,injection-base64,104,True,
\bhex\s*decode\b,BodAIGuard,injection-hex,66,True,
\brot13\b,BodAIGuard,injection-rot13,29,True,
translate\s+to\s+(pig\s*latin|base64|hex|binary),BodAIGuard,injection-encoding,401,True,
(bomb|weapon|explosive|kill|attack),test_adversarial,toxicity-violence-kw,92,True,
b[i1][t\+]ch,test_adversarial,toxicity-leetspeak,17,True,
(eval|exec)\s*\(,test_adversarial,code-eval-exec-combo,26,True,
rm\s*-[rR][fF],test_adversarial,cmd-rm-rf,18,True,
(wget|curl)\s+.*(malware|exploit|payload),test_adversarial,cmd-download-evil,445,True,
import\s+(os|subprocess|shutil),test_adversarial,code-import-dangerous,193,True,
(os\.system|subprocess\.run|subprocess\.call)\s*\(,test_adversarial,code-system-call,208,True,
(\bUNION\b|\bSELECT\b.*\bFROM\b|\bDROP\b\s+\bTABLE\b),test_adversarial,sqli-union-drop,323,True,
\.\./\.\.,test_adversarial,path-traversal-dotdot,13,True,
base64\s*-d.*\|\s*(bash|sh|python),test_adversarial,cmd-base64-pipe-shell,416,True,
(nc|ncat|netcat)\s+-[elp],test_adversarial,cmd-netcat-reverse,47,True,
sudo\s+(rm|chmod|chown|dd|mkfs),test_adversarial,cmd-sudo-abuse,101,True,
chmod\s+[u\+]*s,test_adversarial,cmd-suid-bit,37,True,
"(api[_-]?key|api[_-]?secret|access[_-]?token)\s*[=:]\s*[\""']",test_adversarial,secret-api-key-literal,182,True,
(wget|curl|fetch)\s+https?://.*\.(exe|sh|bat|ps1),test_adversarial,cmd-malware-ext-download,588,True,
(DAN|jailbreak|do anything now|ignore (previous|all)),test_adversarial,injection-DAN-jailbreak,284,True,
(how to (make|build|create) a (bomb|weapon|virus)),test_adversarial,harmful-howto-make,528,True,
(curl|wget|nc)\s+.*(-d|--data)\s+.*(/etc/passwd|/etc/shadow),test_adversarial,cmd-exfil-etc,-1,True,
ignore\s+(all\s+)?(previous|prior|above)\s+(instructions?|prompts?),test_adversarial,injection-ignore-all,813,True,
(ignore|disregard|forget)\s+(all\s+)?(your\s+)?(previous|prior|above)\s+(instructions?|prompts?|context),LLM-Guard,injection-ignore-instr,-1,True,
you\s+(must|should|will|shall)\s+(ignore|disregard|forget)\s+,LLM-Guard,injection-must-ignore,536,True,
(new\s+)?role\s*[:=]\s*(assistant|system|ai|bot),LLM-Guard,injection-role-override,241,True,
(act|behave|respond)\s+as\s+(if\s+you\s+(are|were)\s+)?(a\s+)?(evil|harmful|unaligned|jailbroken),LLM-Guard,injection-act-as-evil,1398,True,
<\|system\|>|<\|user\|>|<\|assistant\|>,LLM-Guard,injection-chat-template,143,True,
\[system\]|\[user\]|\[assistant\],LLM-Guard,injection-bracket-role,103,True,
(please\s+)?(disregard|ignore)\s+(any\s+)?(safety|ethical|content)\s+(guidelines?|filters?|restrictions?),LLM-Guard,injection-disregard-safety,-1,True,
(synthesize|produce|generate|write)\s+(step.by.step\s+)?(instructions?\s+for\s+)?(making|creating|building|producing)\s+(a\s+)?(bomb|weapon|explosive|poison|drug),LLM-Guard,harmful-synth-instructions,-1,True,
(hack|crack|exploit|compromise|breach)\s+(into\s+)?(a\s+)?(computer|system|server|network|website|database),LLM-Guard,harmful-hacking-intent,-1,True,
(child|minor|underage|juvenile)\s+(sex|porn|nude|explicit|erotic),LLM-Guard,csam-detect,623,True,
without\s+(any\s+)?(ethical|moral|legal|safety)\s+(constraints?|restrictions?|limitations?|considerations?),LLM-Guard,injection-without-ethics,1393,True,
(pretend|imagine|suppose|assume)\s+(that\s+)?(you\s+)?(have\s+no|lack\s+any|are\s+free\s+from)\s+(restrictions?|guidelines?|filters?|constraints?),LLM-Guard,injection-pretend-unrestricted,-1,True,
(ignore|forget|disregard)\s+(the\s+)?(above|previous|prior|all)\s+(instructions?|prompts?|rules?|guidelines?),Rebuff,injection-ignore-above,-1,True,
you\s+are\s+(now\s+)?(free|allowed|permitted|able)\s+to\s+(say|do|generate|produce|write)\s+anything,Rebuff,injection-free-to-say-anything,-1,True,
(override|bypass|circumvent|evade|escape)\s+(the\s+)?(safety|content|ethical)\s+(filter|guardrail|check|restriction|limit),Rebuff,injection-override-safety,-1,True,
(tell|show|give|provide)\s+(me\s+)?(step.by.step\s+)?(how\s+to\s+)?(make|create|build|synthesize)\s+(a\s+)?(bomb|weapon|drug|virus|malware),Rebuff,harmful-step-by-step,-1,True,
(your|the)\s+(true|real|actual|underlying)\s+(system\s+)?(prompt|instructions?|directive|objective),Rebuff,injection-reveal-prompt,1508,True,
(simulate|roleplay|act\s+as|pretend\s+to\s+be)\s+(a\s+)?(hacker|criminal|terrorist|attacker|adversary),Rebuff,injection-roleplay-malicious,1393,True,
(output|print|display|show|return)\s+(your\s+)?(full\s+)?(system\s+)?(prompt|instruction|configuration),Rebuff,injection-output-prompt,-1,True,
(disable|turn\s+off|deactivate|remove)\s+(your\s+)?(safety|ethical|content)\s+(filter|guardrail|check|mode),Rebuff,injection-disable-filter,-1,True,
(write|generate|create|produce)\s+(a\s+)?(phishing|malicious|spam|fake)\s+(email|message|website|page|link),Rebuff,harmful-phishing,1555,True,
(how\s+to\s+)?(launder|hide|conceal)\s+(money|funds|assets|proceeds),Rebuff,harmful-money-laundering,705,True,
(I\s+want|please|can\s+you|help\s+me)\s+(to\s+)?(hack|attack|exploit|compromise|break\s+into),NeMo-Guardrails,harmful-request-hack,1081,True,
(generate|write|create|produce)\s+(harmful|dangerous|illegal|malicious|offensive)\s+(content|text|code|output),NeMo-Guardrails,harmful-gen-request,-1,True,
(kill|murder|harm|hurt|injure|assault)\s+(a\s+)?(person|human|someone|individual|people),NeMo-Guardrails,violent-intent,948,True,
(buy|purchase|obtain|acquire|get)\s+(illegal\s+)?(drugs?|narcotics?|weapons?|firearms?|explosives?),NeMo-Guardrails,harmful-illegal-purchase,1412,True,
(how\s+do\s+I|how\s+can\s+I|steps?\s+to)\s+(commit|perform|execute|carry\s+out)\s+(fraud|theft|robbery|murder|terrorism),NeMo-Guardrails,harmful-how-commit-crime,-1,True,
(write|create|generate)\s+(hate\s+speech|racist|sexist|homophobic|transphobic)\s+(content|text|post|message),NeMo-Guardrails,toxicity-hate-speech-gen,1434,True,
(describe|explain|show)\s+(how\s+to\s+)?(torture|abuse|exploit)\s+(someone|a\s+person|children?|animals?),NeMo-Guardrails,harmful-abuse-describe,-1,True,
(steal|exfiltrate|leak|dump)\s+(user\s+)?(data|credentials?|passwords?|information|records?),NeMo-Guardrails,harmful-data-theft,1228,True,
(create|generate|write|build)\s+(a\s+)?(ransomware|malware|virus|worm|trojan|rootkit|keylogger),NeMo-Guardrails,harmful-malware-gen,958,True,
(avoid|evade|bypass|circumvent)\s+(detection|monitoring|logging|auditing|tracking),NeMo-Guardrails,evasion-intent,950,True,
(provide|give|share|send)\s+(me\s+)?(your\s+)?(api\s+key|credentials?|access\s+token|private\s+key|password),NeMo-Guardrails,injection-demand-credentials,1318,True,
\b(white|black|yellow|brown)\s+(people|race|person|man|woman)\b,Guardrails-AI,toxicity-racial-stereotype,431,True,
